"Business Name","Doing Business As","Business Address","Business Geo Location"
"MCMAHON RUTH ZIMM","KISS AND MAKE UP","5432 PATTERSON AVE","POINT (-77.51202 37.57777)"
"ABUNDANCE ORGANIZING LLC",,"8624 CHIPPENHAM ROAD","POINT (-77.55458 37.54712)"
"LEVINER WOOD INC",,"2012A MONUMENT AVE","POINT (-77.46274 37.55555)"
"KEEFE BRUYETTE & WOODS INC",,"1051 E CARY ST","POINT (-77.43549 37.53503)"
"ASHBYS BRAKE & TRUCK REPAIR INC",,"2320 DEEPWATER TERMINAL ROAD","POINT (-77.43167 37.48986)"
"TAQUERIA MORELOS LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"AMURCON REALTY COMPANY","AMURCON REALTY","919 E MAIN ST 1400","POINT (-77.43568 37.53785)"
"SWIFT RUN RENOVATIONS LLC",,"6512 LEISURE CT","POINT (-77.50161 37.39464)"
"DELOITTE & TOUCHE LLP",,"901 E BYRD ST 820","POINT (-77.4386 37.53501)"
"EL PARAISO FAMILY RESTAURANT INC",,"6832 MIDLOTHIAN TPKE STE A","POINT (-77.52148 37.50243)"
"SALHA HAYTHAM","FRUITY SMOOTHIES","900 E BROAD ST 103","POINT (-77.43342 37.54052)"
"KINGDOM AIR LLC",,"98 BELLE PLAINS RD","POINT (-77.39254 38.3138)"
"INFINITY CONTRUTION GROUP LLC",,"6405 ARBOR LANDING DR.","POINT (-77.48861 37.36261)"
"DREAM ELECTRIC LLC",,"6830 EVERGLADES DR","POINT (-77.52209 37.50322)"
"COMMONWEALTH ELECTRICAL SERVICES INC",,"12733 OAK LAKE CT","POINT (-77.64963 37.63427)"
"OAXACA LLC",,"610 N SHEPPARD ST","POINT (-77.4742 37.56064)"
"COMMONWEALTH EPOXY COATINGS INC",,"704 GUM ROCK CT #200","POINT (-76.47933 37.08804)"
"BIO-MEDICAL APPLICATIONS OF VIRGINIA INC","FRESENIUS KIDNEY CARE RICHMOND MANCHESTE","406 COWARDIN AVE","POINT (-77.45118 37.52223)"
"ARW CONTRACTING INC",,"13201 OLD STAGE ROAD","POINT (-77.39728 37.34655)"
"DMI22 VCU LLC","DOMOISHI","1106 W MAIN ST","POINT (-77.45576 37.54589)"
"MID ATLANTIC PETROLEUM SERV INC",,"814 PROFESSIONAL PL","POINT (-76.23543 36.76231)"
"VARIETY STORES INC","ROSE'S EXPRESS #1869 4750 N SOUTHSIDE PL","4010 HULL STREET ROAD","POINT (-77.47483 37.50166)"
"CARWICH MARINE SHOWROOM INC","THE CANAL CLUB","1545 E CARY ST","POINT (-77.42946 37.53268)"
"HILL ELECTRICAL INC",,"8553 MEADOWBRIDGE ROAD","POINT (-77.51311 37.39698)"
"DUMPLING & NOODLE CART",,"3321 W CARY ST","POINT (-77.4836 37.55421)"
"WALL DOCTOR AND RENOVATIONS LLC","WALL DOCTOR AND RENOVATIONS LLC","108 E BLAKE LANE","POINT (-77.46563 37.50905)"
"KBT SENIOR TRANSPORTATION LLC",,"1502 KANSAS AVE","POINT (-77.4691 37.53122)"
"NABIL A ALHARAZI","WALMSLEY MARKET LLC","3823 WALMSLEY BLVD","POINT (-77.46719 37.46789)"
"W M JORDAN COMPANY INC","BASS STEEL BUILDINGS CO","708 BAINBRIDGE ST","POINT (-77.44161 37.52391)"
"A 1 ROOFING LLC",,"1834 MOORE ST","POINT (-77.4562 37.5595)"
"D AND S PAINTING LLC",,"3709 NORTH  AVE","POINT (-77.43477 37.58214)"
"MKT LLC","ARROZ RVA","900 E BROAD ST","POINT (-77.43342 37.54052)"
"RETAIL STORE NETWORKS INC",,"305 W BROAD ST","POINT (-77.44479 37.54735)"
"UPTOWN COLOR LLC",,"1205 W MAIN ST","POINT (-77.45679 37.54598)"
"BELLOS LLC","BELLOS LOUNGE","1712 E FRANKLIN STREET","POINT (-77.42711 37.53395)"
"BAGLEY, SALLY T.",,"3908 EXETER ROAD","POINT (-77.49433 37.55681)"
"JOHNSON-DAY MONICA","SALON ALLURE OF RICHMOND","1517 W MAIN ST","POINT (-77.4602 37.5472)"
"SHEKINAH TEMPLE EVANGELISTIC MINISTRY","FIRE AND ICE","900 E BROAD ST","POINT (-77.43342 37.54052)"
"OVERTON WILEY KIRCHMIER TERRY & ROWE PC",,"7000 PATTERSON AVE","POINT (-77.53103 37.59073)"
"WHITE FORREST A JR","FORREST WHITE PRINTING & GRAPHIC DESIGN","20 W BROOKLAND PARK BLVD","POINT (-77.43347 37.57154)"
"MID ATLANTIC STEEL ERECTORS INC",,"832 WESTWOOD PINE CT","POINT (-77.44292 37.57812)"
"M A WILLIAMS INC","M A WILLIAMS DRAIN CLEANING PLUMBING HEA","27 LABROOK DR","POINT (-77.50965 37.50529)"
"HEARTLAND CONSTRUCTION INC",,"824 CURTIS SAUNDERS CT","POINT (-76.39234 36.77711)"
"W & H SERVICES INC","W & H TAX SERVICES INC","2917 E BROAD ST","POINT (-77.41443 37.52898)"
"KRISTINA GUZMAN PHOTOGRAPHY LLC",,"3015 WOODCLIFF AVE","POINT (-77.42064 37.57105)"
"REXY TIRE SHOP LLC",,"6401 MIDLOTHIAN TPKE","POINT (-77.51382 37.50309)"
"TIGER ENTERPRISE INC","RACEWAY EXPRESS","898 AZALEA AVE","POINT (-77.4489 37.6021)"
"WHITLOW'S HEAVENLY TOUCH LLC",,"2719 GARLAND AVE","POINT (-77.4342 37.5677)"
"ELECTRICKMAN INC","ELECTRICKMAN INC","1811 W LABURNUM AVE","POINT (-77.46531 37.58403)"
"INNOVATIVE SOLUTIONS MANAGEMENT LLC",,"3732 BIRDWOOD RD","POINT (-77.49022 37.46478)"
"ZZQ LLC","ZZQ","3201 W MOORE ST","POINT (-77.47137 37.5688)"
"J 7 S CREATIVE COUNSULTING LLC",,"105N 17TH STREET","POINT (-77.42756 37.53448)"
"PHILLY STEAK & GYROS INC",,"3443 W CARY ST","POINT (-77.4858 37.55499)"
"YY SALON LLC","YY SALON","5430 PATTERSON AVE","POINT (-77.5117 37.5778)"
"PUBLIC STORAGE INC",,"5440 MIDLOTHIAN TPKE","POINT (-77.49825 37.50751)"
"ROSIE CONNOLLY'S PUB INC","ROSIE CONNOLLY'S","1548 E MAIN ST A","POINT (-77.42887 37.53364)"
"G&T S SERVICES LLC",,"806 SHELBY DR","POINT (-77.48526 37.49956)"
"HISTORICAL RESTAURANT CONCEPTS LLC","STATION 2","2016 E MAIN ST","POINT (-77.42522 37.53143)"
"TRUE TATTOO LLC",,"6106 JAHNKE ROAD","POINT (-77.5095 37.52061)"
"MEZA HECTOR R","JOSE'S SHOE REPAIR","102 S SHEPPARD ST","POINT (-77.47898 37.55223)"
"GROVE AVE LLC",,"5610 GROVE AVE","POINT (-77.51645 37.57343)"
"ADAMS ADAMS & EPPERLY DDS PC","GROVE AVE FAMILY & COSMETIC DENTISTRY","4315 GROVE AVE","POINT (-77.49643 37.56396)"
"AWNING ADVANTAGE INC","ROBERTS AWNINGS","1791 MIDWAY AVE","POINT (-77.43479 37.22014)"
"INFORMATION DIAGNOSTICS LLC",,"5201 BLUE RIDGE AVE","POINT (-77.39418 37.51257)"
"THE PARK RVA LLC",,"1407 CUMMINGS DR","POINT (-77.45489 37.56912)"
"G & G QUALITY PLUMBING INC",,"3155 PINEY SLOPE LN","POINT (-76.98894 37.43788)"
"PEAK EXPERIENCES INC","PEAK EXP INDOOR CLIMBING & PASSAGES ADVE","1375 OVERBROOK RD","POINT (-77.45361 37.56536)"
"WALSH ELECTRIC CO INC","WALSH ELECTRIC","101 SENTRY CIR","POINT (-76.47737 37.18043)"
"ADVANCED CONSTRUCTION SERVICES INC",,"2201 BABCOCK BLVD",
"HAGAR LLC","LAURA LEES","3410 SEMMES AVE","POINT (-77.46971 37.51584)"
"MTAA LLC",,"406 E MAIN ST","POINT (-77.4405 37.54072)"
"WESLEY B KAUFMAN LLC",,"9020 STONY POINT PKWY 225","POINT (-77.56869 37.55398)"
"STRATEGIC TELECOM SUPPLY SOLUTIONS LLC",,"306 ORLEANS ST","POINT (-77.41135 37.51792)"
"JS RESTAURANT ENTERPRISES LLC","OLD ORIGINAL BOOKBINDERS","2306 E CARY ST","POINT (-77.42326 37.52889)"
"SHOCKOE BOTTOM CLEANERS & ALTERATIONS",,"1805 E BROAD ST A","POINT (-77.42472 37.53525)"
"LEANS TIRE SERVICE LLC",,"3701 HULL STREET","POINT (-77.4696 37.50469)"
"TAMISHA WILLIAMS CONSULTING LLC",,"1100 PERRY ST A","POINT (-77.44594 37.52396)"
"SOUPCAN PRODUCTIONS LLC","WONDERLAND","1727 E MAIN ST","POINT (-77.42785 37.53302)"
"ROANOKE CEMENT COMPANY LLC","ROANOKE CEMENT","2800 N HOPKINS RD","POINT (-77.44862 37.50368)"
"DYKE NELSON ARCHITECTURE LLC","DNA WORKSHOP","2930 W BROAD ST D","POINT (-77.47269 37.56425)"
"WICHELLO GENERAL CONTRACTING LLC",,"9602 RIVER RD","POINT (-77.60155 37.58241)"
"RAYMOND JAMES & ASSOCIATES",,"5706 GROVE AVE","POINT (-77.51741 37.57305)"
"CENTRAL VIRGINIA DENTAL CARE PLC","DRS DUFF AND RICHARDSON","4909 GROVE AVE","POINT (-77.50569 37.56846)"
"PROGRESSIVE DESIGN, INC",,"5309 COMMONWEALTH CENTRE PKWY 300","POINT (-77.49788 37.56482)"
"GLEN ALLEN PLUMBING LLC",,"2151 LANIER LN B","POINT (-77.6616 37.70087)"
"PREMIERE DESIGN & CONSTRUCTION INC",,"15 E GLENBROOKE CIR","POINT (-77.55836 37.57371)"
"TERRANOVA INC","EL AVENTURERO","3111 BROAD ROCK BLVD","POINT (-77.4816 37.47397)"
"JAMES RIVER LOGISTICS LLC",,"1515 WALLACE ST","POINT (-77.45929 37.54182)"
"HIGH POINT BARBERSHOP LLC",,"1400 N ARTHUR ASHE BLVD","POINT (-77.46744 37.56764)"
"CLINE ENTERPRISES OF RICHMOND INC","SAM MILLERS RESTAURANT","1210 E CARY ST","POINT (-77.43415 37.53558)"
"MI PAIS MART LLC",,"5347 HULL STREET RD","POINT (-77.4925 37.4898)"
"GARY INMAN HOME COUTURE LLC",,"3215 MONUMENT AVE","POINT (-77.47728 37.56396)"
"MILLER MECHANICAL INC",,"2504 GRENOBLE RD","POINT (-77.52533 37.61208)"
"POSE AND PROSE LLC",,"210 VIRGINIA AVE","POINT (-77.50956 37.56192)"
"TINY VEGAN LLC",,"104 SOUTH SHEPPARD ST","POINT (-77.47903 37.55214)"
"MIDLOTHIAN MOTOR COMPANY",,"6344 MIDLOTHIAN TPKE","POINT (-77.51348 37.5039)"
"NEXUS GLOBAL CONSULTING LLC",,"508 N MEADOW ST","POINT (-77.46276 37.55449)"
"B & M MART LLC","JACK RABBIT CONVENIENCE STORE","3415 HULL ST","POINT (-77.46766 37.50611)"
"PIZZA 111 LLC","SOUTHERN RAILWAY TAPHOUSE","111 VIRGINIA ST 100","POINT (-77.4333 37.53408)"
"M-CLEANER SERVICE LLC","M-CLEANER SERVICE","1829 CLEARFIELD ST","POINT (-77.49258 37.48668)"
"CAPITOL CITY LAWN CARE & LOGISTICS LLC",,"5611 LARRYMORE ROAD","POINT (-77.50199 37.51357)"
"VASEN BREWING COMPANY LLC","VASEN BREWING COMPANY","3331 W MOORE ST","POINT (-77.47259 37.5701)"
"SALT HOUSE RESTAURANT LLC",,"3001 W LEIGH ST A","POINT (-77.47016 37.56661)"
"ASCENDING DOVE CARE FACILITY INC",,"2914 FENDALL AVE","POINT (-77.43632 37.57087)"
"PUNCH, LLC",,"2015 W BROAD ST","POINT (-77.46127 37.55719)"
"ALITHIA FOREST HILL LLC","STELLA'S MARKET WESTOVER HILLS","4930 FOREST HILL AVE","POINT (-77.49029 37.52208)"
"WYATT DWIGHT MENDEL",,"100 E BROAD ST","POINT (-77.44095 37.54504)"
"COLONY TIRE CORPORATION #33",,"2900 DEEPWATER TERMINAL RD","POINT (-77.43033 37.48436)"
"PARMENTER LLC",,"919 E MAIN ST","POINT (-77.43568 37.53785)"
"CAPTAIN CONSTRUCTION OF VA LLC",,"4301 WALDOR DR","POINT (-77.47515 37.46797)"
"PLUMBTTEC PLUMBING LLC",,"10000 BRITTONWOOD DR","POINT (-77.46426 37.38371)"
"BARNES & NOBLE BOOKSELLER INC","PAPER SOURCE LLC","3124 W CARY ST","POINT (-77.48115 37.55358)"
"BETSY B CARR AND ASSOCIATES LTD",,"301 N ALLEN AVE","POINT (-77.46133 37.55204)"
"TWO CAPITOLS CONSULTING LLC",,"4103 PARK AVE","POINT (-77.48914 37.56702)"
"RIVAS AUTOMOTIVE INC",,"2712 HULL ST","POINT (-77.45817 37.51201)"
"JONES REALTY & CONSTRUCTION CORP",,"1058 TECHNOLOGY DR 200","POINT (-80.71649 36.77529)"
"CAN CAN BRASSERIE LLC","CAN CAN BRASSERIE","3120 W CARY ST","POINT (-77.48106 37.5533)"
"WINDSOR FOOD SERVICE INC","HENLEY ON GRACE","314 E GRACE ST","POINT (-77.43952 37.54281)"
"BROAD ROCK ENTERPRISE INC","B & S FOOD MART","3610 E BROAD ROCK RD","POINT (-77.46705 37.50231)"
"THE FRESH MARKET INC","THE FRESH MARKET","10 N NANSEMOND ST B","POINT (-77.48634 37.55711)"
"S P YOUNT FINANCIAL LLC",,"1303 LOCH LOMOND LANE","POINT (-77.49617 37.54457)"
"CHIMBORAZO INVESTMENT RESEARCH LLC",,"2806 E BROAD ST","POINT (-77.4158 37.52981)"
"AT&T ENTERPRISES LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"KALFOGLOU CYNTHIA","GUS'S SHOE REPAIR","528 E MAIN ST","POINT (-77.43938 37.54005)"
"GPM EMPIRE LLC","QUARLES PETROLEUM","211 MAURY ST","POINT (-77.43299 37.52251)"
"EMPANADA.COM LLC","MY EMPANADA","900 E BROAD ST","POINT (-77.43342 37.54052)"
"TALL POPPIES FREELANCE WRITING",,"4808 MONUMENTAL ST","POINT (-77.49788 37.5752)"
"EL SALVADORENO MOTORS INC",,"3445 BROAD ROCK BLVD","POINT (-77.48436 37.46891)"
"AMERICAS BEST SERVICE INC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"PEDIATRIC PARTNERS OF VIRGINIA LLC","PEDIATRIC ASSOCIATES","1001 HIOAKS RD","POINT (-77.52452 37.51384)"
"EAST COAST METAL DISTRIBUTORS LLC",,"928 N MEADOW ST","POINT (-77.45866 37.5589)"
"WARTHEN GEORGE A II",,"2304 MONUMENT AVE","POINT (-77.46588 37.55741)"
"THE FARMHOUSE OUT BROAD LLC","CASA DEL BARCO","321 S 11TH ST","POINT (-77.43742 37.53413)"
"APPLE NINE SERVICES RICHMOND INC","COURTYARD BY MARRIOTT RICHMOND DOWNTOWN","1320 E CARY ST","POINT (-77.43302 37.53489)"
"MAY MART LLC",,"4307 RICHMOND HWY","POINT (-77.4428 37.46668)"
"JAFARI EMMETT J","AFRICAN AMERICAN TOURS OF RICHMOND","3520 SKIPPING ROCK WAY","POINT (-77.49797 37.46831)"
"AGINCOURT CAPITAL MANAGEMENT LLC",,"200 S 10TH ST 800","POINT (-77.43718 37.53584)"
"MYRA YUM MARKET LLC",,"4904 GOVERNMENT RD","POINT (-77.39489 37.51642)"
"PBRVA CORPORATION","PIZZA & BEER OF RICHMOND","2533 W CARY ST","POINT (-77.47342 37.55059)"
"MONUMENT BUSINESS SERVICES LLC",,"3925 MONUMENT AVE","POINT (-77.48468 37.56844)"
"SCHEER-PAYNE LLC",,"3006 NOKOMIS RD","POINT (-77.5228 37.54125)"
"JOHN PISHKO CUSTOM HOMES LLC",,"2941 SUMMERHURST DR","POINT (-77.61615 37.53318)"
"REYNOLDS GALLERY INC",,"1514 W MAIN ST","POINT (-77.46021 37.54721)"
"NASH CONSTRUCTION CO. INC.",,"1400 BROOK ROAD","POINT (-77.44392 37.55537)"
"JK MARKET 4731 LLC",,"4721 WALMSLEY BLVD","POINT (-77.48248 37.4701)"
"GENERATIONS CAPITAL GROUP LLC","MDM TRANSPORTATION","1825 E MARSHALL ST 437","POINT (-77.42389 37.53611)"
"COOL COLORS INC",,"5501 MIDLOTHIAN TPKE","POINT (-77.49889 37.50427)"
"MCKEEVER COMPANY","MCKEEVER ELECTRIC & PLUMBING","8505 BELL CREEK RD F","POINT (-77.35212 37.64023)"
"YUP ENTERPRISES LLC","YELLOW UMBRELLA PROVISIONS","5603 PATTERSON AVE","POINT (-77.51257 37.57779)"
"ATLEE ROOFING LLC",,"9041 LAUREL BRANCH CIRCLE","POINT (-77.46289 37.39703)"
"TURNER ELECTRICAL SERVICES LLC",,"8437 WINDING KNOLL LN","POINT (-77.16605 37.63817)"
"PLUMB LINE PLUMBING SERVICE LLC",,"210 WREN RD","POINT (-77.35488 37.55686)"
"REALIZATION PLANNING GROUP LLC",,"1013 OAKWOOD AVE","POINT (-77.40429 37.53315)"
"BRIDGET BEARI DESIGNS INC","BRIDGET BEARI HOME","1528 W CARY ST","POINT (-77.4614 37.54628)"
"IH WEB ENTERPRISES LLC","THE SOIL AUTHORITY","1906 3RD AVE","POINT (-77.42469 37.55968)"
"TAILORED PHYSIQUE LLC",,"1911 W CARY ST B","POINT (-77.46571 37.54784)"
"515 HARRISON STREET LLC","CAMPUS WAFFLE","515 N HARRISON ST","POINT (-77.45286 37.55128)"
"THALHIMER INC","THALHIMER","900 W MARSHALL ST","POINT (-77.44925 37.55179)"
"JACEE INC","CLARA'S WEST ASSISTED LIVING","2230 W GRACE ST","POINT (-77.46451 37.55778)"
"WATKINS CLEANING INC",,"3824 DYLISDALE DR","POINT (-77.46568 37.47605)"
"WESTRIDGE CONSTRUCTION PARTNERS LLC",,"817 HILLSBOROUGH ST F104",
"VITAL SOLUTIONS 4U LLC",,"4504 MONUMENT AVE","POINT (-77.49207 37.57304)"
"COPPERTREE CONSTRUCTION INC",,"11206 LEADBETTER RD 5","POINT (-77.44264 37.71114)"
"BANGLES AND BEADS INC",,"3322 W CARY ST","POINT (-77.48442 37.5545)"
"POWER SOLUTIONS LLC OF VA",,"813 DILLIGENCE DR 120","POINT (-77.55127 37.58296)"
"ONE IN THE OVEN INC","CAFE RUSTICA","414 E MAIN ST","POINT (-77.44028 37.54059)"
"THE MATTHEWS GROUP INC",,"18915 LINCOLN RD","POINT (-77.69605 39.09423)"
"GREAT DANE TRAILERS",,"2702 DEEPWATER TERMINAL ROAD","POINT (-77.43106 37.48649)"
"A-MASS INC",,"5300 CRENSHAW AVE","POINT (-77.44513 37.60462)"
"TRENT CORP",,"8000 FRANKLIN FARMS DR 101","POINT (-77.54608 37.60158)"
"CAPITOL SIGNS INC",,"11214 HOWARDS MILL ROAD","POINT (-77.63852 37.71299)"
"CHICKAHOMINY BUSINESS DEVELOPMENT","JOSEPH F YATES ARCHITECTS","2501 MONUMENT AVE 301","POINT (-77.46796 37.55839)"
"EASTCOAST PLUMBING MECHANICS INC",,"10 WOODPATH LANE","POINT (-77.48757 37.53995)"
"J & J BEAUTY SALON  LLC",,"5321 HULL STREET RD","POINT (-77.49162 37.49036)"
"HAMPDEN HILL CUSTOM BUILDING LLC",,"1706 ROSENEATH RD","POINT (-77.47147 37.57183)"
"AMERIGAS PROPANE PARTS & SERVICE INC",,"1701 BROOK RD","POINT (-77.44625 37.55881)"
"K&Z BUILDERS. LLC",,"5264 OLD MAIN ST","POINT (-77.41554 37.51106)"
"SEVEN HILLS SURVEYING, INC",,"4330 WAKEFIELD RD","POINT (-77.54058 37.55468)"
"WHITE MARK",,"503 LIBBIE AVE 2B","POINT (-77.51722 37.57597)"
"ENTERPRISE LEASING CO OF NOR/RI","ENTERPRISE RENT-A-CAR","4713 W BROAD ST","POINT (-77.49129 37.57975)"
"GRITTY CITY RECORDS LLC",,"1120 MEADE ST","POINT (-77.4637 37.53795)"
"OCEAN DRYWALL INC",,"104 ARAGONA BLVD","POINT (-76.14537 36.841)"
"BEST WORK SERVICES LLC",,"2403 NORTH AVE 2","POINT (-77.43319 37.56442)"
"TIDEWATER PHYSICAL THERAPY INC",,"5801 PATTERSON AVE","POINT (-77.51471 37.57923)"
"SCHWAN'S CONSUMER BRANDS INC",,"2900 COFER RD","POINT (-77.45512 37.49298)"
"BALITY ANDRAS J",,"3311 NORTHVIEW PL","POINT (-77.51414 37.54356)"
"GENERATOR INTERLOCK TECHNOLOGIES LLC",,"3107 LANVALE AVE","POINT (-77.46706 37.57501)"
"THE VEIL BREWING COMPANY LLC",,"1301 ROSENEATH RD","POINT (-77.47556 37.56851)"
"D & S TOWING LLC",,"642 W SOUTHSIDE PLZ","POINT (-77.47935 37.50165)"
"TOPEE KARL","HALF PINT SALVAGE","4000 FOREST HILL AVE","POINT (-77.47441 37.51651)"
"ARROW SYSTEM INC","PLUMBER ON THE WAY","13826 HAW BRANCH LN","POINT (-78.04947 37.4134)"
"CORNERSTONE ARCHITECTS PLC","CORNERSTONE ARCHITECTS","211 W 7TH ST B","POINT (-77.44226 37.52561)"
"HAIR BY DANIELLE LLC","HAIR BY DANIELLE","9002 W HUGUENOT ROAD 16","POINT (-77.56367 37.53753)"
"U-HAUL CO OF VIRGINIA","U-HAUL SELF STORAGE NORTH BOULEVARD","2930 N ARTHUR ASHE BLVD","POINT (-77.46488 37.57228)"
"EASTER ASSOCIATES INC",,"1011 E MAIN ST #220","POINT (-77.43491 37.53739)"
"D M JEFFERS INCORPORATED",,"6530 MIDLOTHIAN TPKE","POINT (-77.5164 37.50336)"
"PETERSD TAX PREPARATION AND CONSULTING",,"1657 W BROAD ST 5","POINT (-77.45814 37.5553)"
"JENNIFER J JONES CPA LLC",,"2920 W BROAD ST 106","POINT (-77.47229 37.56423)"
"AAROW BAIL BONDS LLC","THE BONDSMAN","2015 W LABURNUM AVE 105","POINT (-77.46917 37.58392)"
"GROVE AVE EYE CENTER PC",,"3601 GROVE AVE","POINT (-77.48722 37.5596)"
"FLIRT LLC","FLIRT HAIR SALON","3407 W CARY ST","POINT (-77.48488 37.55466)"
"NEW LEVEL RESTAURANT & BAR INC","LEVEL RESTAURANT & BAR","2007 W BROAD ST","POINT (-77.46106 37.55684)"
"PECKHAM TAMI Y LCSW",,"604 N ARTHUR ASHE BLVD","POINT (-77.4717 37.55982)"
"INDIANA INDUSTRIAL SERVICES LLC",,"1906 CLOVER RD",
"CARIBBEAN CHEF LLC","CARIBBEAN CHEF","901 HULL ST","POINT (-77.44176 37.52245)"
"CHESAPEAKE ENVIRONMENTAL COMMUNICATIONS","GREEN FIN STUDIO","530 E MAIN ST 220","POINT (-77.43931 37.54001)"
"MCANELLY CONTRUCTION INC",,"19497 VONTAY ROAD","POINT (-77.7777 37.75607)"
"C K HAULING LLC",,"3615 EDGEWOOD AVE","POINT (-77.43868 37.58246)"
"VIRGINIA PROTECTIVE AGENCY LLC",,"416 BYSWICK LN","POINT (-77.49661 37.51149)"
"HORIZON CONSTRUCTION COMPANY",,"415 WINKLER DR","POINT (-77.55095 37.58313)"
"POLYMERSHAPES LLC","POLYMERSHAPES","2115 N HAMILTON ST #A","POINT (-77.47316 37.57646)"
"MCALLISTER THOMAS DALE","D & C JANITORIAL SERVICE","1740 ALASKA DR","POINT (-77.47996 37.49049)"
"BERKADIA COMMERCIAL MORTGAGE LLC",,"707 E MAIN ST 1300","POINT (-77.43744 37.5389)"
"ACHJLMW CORPORATION","THE FRANKLIN INN","800 CLEVELAND ST","POINT (-77.4767 37.56296)"
"J & J FRAMING LLC",,"1303 CHERRYSTONE AVE","POINT (-77.49464 37.63292)"
"SALON VIVACE OF RICHMOND LLC",,"101 W FRANKLIN ST","POINT (-77.44491 37.54433)"
"LOS AMIGOS 6 INC","LOS AMIGOS MEXICAN RESTAURANT","1808 STAPLES MILL RD","POINT (-77.49403 37.58089)"
"AUTOMATED AIR SYSTEMS INC",,"1723 RHOADMILLER ST","POINT (-77.46223 37.56693)"
"TINDALL CORPORATION",,"5400 OLGERS RD","POINT (-77.52316 37.19768)"
"NOVA FIRE & ICE LLC",,"304 CROPP RD","POINT (-77.60991 38.47752)"
"INDOOR GOLF LLC",,"3920 W BROAD ST 101","POINT (-77.48125 37.57157)"
"APPLEGATE HEALTH SERVICES INC","APPLEGATE RECOVERY RICHMOND","204 N HAMILTON STREET B","POINT (-77.49068 37.56013)"
"BEATTLE FRANCINEIDE F","GOMES TILE LLC","6749 N GRAND BROOK CIR","POINT (-77.52083 37.5167)"
"INSU CHANG","J D SUPERMARKET","3600 JEFFERSON DAVIS HWY","POINT (-77.44419 37.47517)"
"PARRISH AND LEBAR",,"5 E FRANKLIN ST","POINT (-77.44328 37.54373)"
"SECURITY LOGISTICS LLC",,"6500 BROOKING CT","POINT (-77.51496 37.50035)"
"RIVAS FAMILY INC","BAR Y RESTAURANTE EL PARAISO","3025 BROAD ROCK BLVD","POINT (-77.48115 37.47481)"
"SMALLWOOD RENOVATIONS LLC",,"603 ENGLAND STREET","POINT (-77.43894 37.54889)"
"THE KITCHEN ON WELLINGTON LLC",,"2600 NINE MILE RD","POINT (-77.40798 37.54101)"
"A G REESE & ASSOCIATES PC",,"621 N 3RD ST","POINT (-77.4359 37.54752)"
"HALL J RUDOLPH III","R3 ENTERTAINMENT","6535 LUDWIG RD","POINT (-77.5167 37.49227)"
"OTIS ELEVATOR CO A CORP",,"1642 OWNBY LANE","POINT (-77.45871 37.56343)"
"GAY NINETIES INC","O'TOOLES","4800 FOREST HILL AVE","POINT (-77.4874 37.52058)"
"BOOK SELLERS LLC",,"2113 E MAIN ST","POINT (-77.4244 37.53093)"
"GROW WELL GRANTS LLC",,"25 W 30TH ST","POINT (-77.46296 37.5135)"
"S & H CLEANERS INC",,"2227 PARK AVE","POINT (-77.46623 37.55619)"
"T R SEWARD INC","SEWARD COMMERCIAL FLOORING","7801 REDPINE RD E","POINT (-77.53109 37.40625)"
"MENDOZA CONTRACTOR INC",,"6213 GATES GREEN DR","POINT (-77.49577 37.37948)"
"THE AZTECAS INC","THE AZTECAS MINI MARKET","1657 W BROAD ST 3A","POINT (-77.45814 37.5553)"
"HEARTH & HOME TECHNOLOGIES INC","FIRESIDE HEARTH & HOME","900 E BROAD ST","POINT (-77.43342 37.54052)"
"LGCY INSTALLATION SERVICE LLC","LGCY INSTALLATION SERVICES LLC","825 DILIGENCE DR. 209","POINT (-76.46237 37.08518)"
"ALLIANCE HOME IMPROVEMENTS LLC",,"11400 IRELAND LN","POINT (-77.59087 37.65396)"
"WASHINGTON JONATHAN",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"DAVINE LLC","DAVINE BAR AND GRILL","1303 HULL ST","POINT (-77.44502 37.52037)"
"UNITED SCRAP METAL VA LLC",,"2900 TERMINAL AVE","POINT (-77.45092 37.4827)"
"JSG GROUP LLC","6335 RESTAURANT","6335 JAHNKE RD A","POINT (-77.51334 37.51964)"
"TODD'S HAIR TECHNIQUES INC",,"6907 PATTERSON AVE","POINT (-77.53036 37.59027)"
"MAKALANI AFI",,"2324 SARA LANE","POINT (-77.49774 37.48127)"
"RIVER CITY TATTOO & PIERCING CO INC","RIVER CITY TATTOO COMPANY","1128 N ARTHUR ASHE BLVD","POINT (-77.46918 37.5649)"
"SLACK TIDE LLC","SLACK TIDE RESTAURANT","1320 SUMMIT AVE","POINT (-77.47218 37.56641)"
"BCAKES LLC",,"8710 OLD SPRING ROAD","POINT (-77.55078 37.55614)"
"BECK ESTATES LLC",,"2307 W CARY ST","POINT (-77.47056 37.54957)"
"GARZA WEB DESIGN LLC",,"1011 E MAIN ST 214D","POINT (-77.43491 37.53739)"
"BARZO RESTAURANTS LLC","CAPITOL WAFFLE SHOP","1110 E MAIN ST","POINT (-77.43405 37.53688)"
"BERNIE L HAWLEY JANITORIAL SERVICES, LLC",,"507 MAGGIE WALKER AVE","POINT (-77.43807 37.59103)"
