"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Public Works","24000007607","$126,788.00","Worley Associates Architects, PLLC","Request for Proposal","Previous Contract #15000022538; New EIN # issued.","Professional Services","2015 Jun 04 12:00:00 AM","2025 Jul 01 12:00:00 AM"
"Public Works","24000011636","$4,945,938.52","A & A Contractors LLC","Invitation to Bid","Req# 240010231 / IFB / DPW / 1 Inch Mill an Overlay Paving / 1 Year Initial Term, 4 Optional 1 Year Renewal Terms","Construction - Term","2024 Jul 01 12:00:00 AM","2025 Jul 03 12:00:00 AM"
"Library, Richmond Public","23000011670","$67,473.00","NEW MARKET GROUNDS CORP","Invitation to Bid","Contract Expired, open to pay last invoice. IFB 230010553 / RPL / Landscape and Maintenance Services / 2 year initial term, 2 two-year renewal options","Non Professional Services, Non Technology","2023 Jul 01 12:00:00 AM","2025 Jul 07 12:00:00 AM"
"Public Works","24000000160","$400,000.00","COLONY TIRE CORPORATION","Invitation to Bid","Tire and Tire Service for Med Duty, Heavy Duty, Commercial Duty and Off Road Equipment. 2 year agreement, with Four (4) One (1) year renewal terms, with 60 days notice before expiration of the then-current term.","Equipment - Non Technology","2023 Jul 12 12:00:00 AM","2025 Jul 11 12:00:00 AM"
"Public Works","20000000473","$771,000.00","Tatum Inc","Invitation to Bid","IFB #190016849 / Commodity / Department of Public Works, Fleet Services / Various Automotive & Equipment Repairs Fleet / Term two (2) of three (3)","Non Professional Services, Non Technology","2019 Jul 22 12:00:00 AM","2025 Jul 21 12:00:00 AM"
"Public Works","25000009332","$2,066,701.25","Richardson-Wayland-Ferreira, LLC","Invitation to Bid","Previous Contract# 24000010255, IFB# 240007089 - Semmes Ave / 34th Street Traffic Signal (UPC 113446) and Forest Hill Streetscape Design (UPC 113445) Performance time is 320 consecutive days (previously paid $40,288.49)","Construction - Capital/Non-Capital","2024 Apr 22 12:00:00 AM","2025 Jul 21 12:00:00 AM"
"Public Works","24000006184","$1,249,564.27","B & B SIGNAL CO LLC","Invitation to Bid","This Contract Purchase Agreement is for IFB No. 240000713. Hull Street @ Belt Boulevard Pedestrian Improvement Project, for a term of 365 consecutive calendar days. Change Orde #2 was an increase in days and a reduction of $124,199.25.","Construction - Capital/Non-Capital","2024 Mar 04 12:00:00 AM","2025 Jul 22 12:00:00 AM"
"Public Works","17000009243","$5,000,000.00","MOSELEY ARCHITECTS","Request for Proposal","Annual Architectural Services","Professional Services","2016 Nov 28 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Public Utilities","19000001163","$4,225,705.00","RAFTELIS FINANCIAL CONSULTANTS","Request for Proposal","Financial Consultant Services/Term On 365 day Extension G180020930.","Professional Services","2020 Aug 01 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Public Works","22000012857","$343,293.34","Azteca Systems LLC","Agency Request","Sole Source - Requisition #20015187 / Department of Public Works / Software likening and maintenance agreement / Initial term of ne (1) year with Two (2) - One (1) year renewals","Supplies, Technology","2022 Jul 01 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Public Utilities","23000000555","$20,888,859.50","Mastec North America Inc","Invitation to Bid","New Acquisition; third of four one-year renewal options: HMI Utilities Former Contract #20000001514; IFB#190015935. 180-day extension through Jan 31, 2025.","Non Professional Services, Non Technology","2022 Aug 01 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Public Utilities","23000009970","$18,905,580.61","ENGLISH CONSTRUCTION CO INC","Invitation to Bid","ENGLISH CONSTRUCTION COMPANY, INCORPORATED CSO IFB No.230007531_Chimborazo Phase 3 & CSO 004","Construction - Capital/Non-Capital","2023 Apr 24 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Emergency Communication","26000000974","$71,129.00","Hagerty Consulting, Inc.","Cooperative Agreement","Req #260000571: 70161- Hagerty to design and develop an Integrated Preparedness Plan (IPP). H-GAC Contract #HP08-21","Non Professional Services, Non Technology","2025 Jul 24 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Emergency Communication","26000000975","$111,397.50","Hagerty Consulting, Inc.","Cooperative Agreement","Req #260000576: 70161-Support DECPR in the City's Emergency Operations Plan (EOP). H-GAC Contract #HP08-21","Non Professional Services, Non Technology","2025 Jul 24 12:00:00 AM","2025 Jul 31 12:00:00 AM"
"Public Utilities","23000000768","$3,346,376.00","Promise Network inc.","Cooperative Agreement","Cooperative / Services - Non Professional and Technology / Department of Public Utilities / Software Systems / Initial Three (3) years with with automatic renewal","Supplies, Technology","2022 Aug 02 12:00:00 AM","2025 Aug 01 12:00:00 AM"
"Public Utilities","24000012561","$786,244.00","Peterbilt of Richmond","Cooperative Agreement","Requisition 240011492 High Priority) Coop Procurement (Sourcewell & Peterbuilt Motors Co Contract# 060920-PMC) Purchase of(1)- 2025 Peterbuilt 548 Cab Peterbilt of Richmond DPU/Shawn.Hall","Equipment - Non Technology","2024 Aug 20 12:00:00 AM","2025 Aug 01 12:00:00 AM"
"Public Works","22000007392","$6,038,044.85","Lumin8 Technologies Services LLC","Invitation to Bid","IFB / Construction - Non-Capital / Department of Public Works / Richmond Signal System – Phase III Project (UPC 105890) / 600 consecutive calendar days","Construction - Capital/Non-Capital","2022 Feb 28 12:00:00 AM","2025 Aug 04 12:00:00 AM"
"City Council","25000001165","$8,000.00","Hanbury Evans Wright Vlattas","Small Purchase","Requisition #250001153 - City Council - Small Purchase - Professional Design and Marketing.","Supplies, Non Technology","2024 Aug 06 12:00:00 AM","2025 Aug 05 12:00:00 AM"
"Public Utilities","19000020817","$747,360.00","E-MERGE SYSTEMS LLC","Invitation to Bid","IFB #W180017596 / Goods & Services / Department o Public Works / SCADA Instrumentation & Control System / Term #2 of #3","Non Professional Services, Technology","2019 May 03 12:00:00 AM","2025 Aug 07 12:00:00 AM"
"Public Works","23000011424","$1,588,386.18","Richardson-Wayland Electrical Company","Invitation to Bid","IFB#230007447 - New Traffic Signals Installation Project (UPC 113812) 480 Consecutive Calendar Days","Construction - Capital/Non-Capital","2023 Aug 09 12:00:00 AM","2025 Aug 08 12:00:00 AM"
"Planning & Development Review","23000004745","$36,523.80","Jason Sobers","Invitation to Bid","*Expired 8NOV24* IFB # 230003156 Boarding and Securing Properties","Non Professional Services, Non Technology","2022 Nov 09 12:00:00 AM","2025 Aug 13 12:00:00 AM"
"Procurement Services","25000012244","$4,950.00","D Warner Group LLC","Agency Request","Financial Integrity and Compliance Suite","Non Professional Services, Non Technology","2025 May 27 12:00:00 AM","2025 Aug 26 12:00:00 AM"
"Public Utilities","21000007200","$2,000,000.00","UNITED RENTALS","Cooperative Agreement","Equipment Rental; City Contract #21000007200 1/4/2021 to 8/27/2025; Sourcewell COOP #062320-URI; RFP#062320.","Equipment - Non Technology","2021 Jan 04 12:00:00 AM","2025 Aug 27 12:00:00 AM"
"Public Utilities","24000001328","$7,500,000.00","Inliner Solutions, LLC","Invitation to Bid","IFB 230010704-Annual CIP Gravity Sewer Rehabilitation Services Performance Period - 2 years with Two 2-Year renewal options.","Construction - Term","2023 Aug 28 12:00:00 AM","2025 Aug 27 12:00:00 AM"
"Public Works","25000012243","$90,832.00","JOHN K GEORGE CO","Request for Quotation","Req 250012633 Removal of Complete Decking & Joists CONSTRUCTION, BRIDGE AND DRAWBRIDGE, INCLUDING RECONSTRUCTION AND REHABILITATION Kimberly Clark Public Works OETM Seaboard Building","Construction - Term","2025 May 30 12:00:00 AM","2025 Aug 28 12:00:00 AM"
"Mayor","25000012881","$58,698.92","COUNTY OF HENRICO","Exempt Purchase","Temporary assignment of an Acting Deputy County Administrator of Finance and Administration to the City for the provision of financial and administrative support services, including assistance with budgeting, procurement, grants management","Non Professional Services, Non Technology","2025 Jun 06 12:00:00 AM","2025 Sep 04 12:00:00 AM"
"Public Utilities","19000021332","$1,733,566.41","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","IFB #190011333/Non-Insulated Gas Meter Valves/DPU/Two (2) years with Four (4) One (1) year renewal options/ Term 4 of 5","Supplies, Non Technology","2019 Jun 06 12:00:00 AM","2025 Sep 05 12:00:00 AM"
"City Council","19000002700","$616,800.00","ADVANTUS STRATEGIES LLC","Request for Proposal","RFP / Services Non Professional and Non Technology / City Council / Lobbyist Services for City Council / Initial Two (2) years with Three (3) - One (1) year renewal and extension.","Non Professional Services, Non Technology","2018 Sep 06 12:00:00 AM","2025 Sep 05 12:00:00 AM"
"Public Works","24000000740","$10,140,340.00","DEWBERRY ENGINEERS INC","Request for Proposal","RFP-230003980 for Annual Civil Engineering and Landscape Architecture Services/ Initial 1-Year with three one-year renewal terms.","Professional Services","2023 Sep 06 12:00:00 AM","2025 Sep 05 12:00:00 AM"
"Public Works","24000000742","$10,032,645.00","KIMLEY-HORN AND ASSOC INC","Request for Proposal","RFP-230003980 for Annual Civil Engineering and Landscape Architecture Services/ Initial 1-Year with three one-year renewal terms.","Professional Services","2023 Sep 06 12:00:00 AM","2025 Sep 05 12:00:00 AM"
"Information Technology","20000001673","$657,994.33","Gartner, Inc","Cooperative Agreement","Rx200001527/COOP - Vita Contract / Supplies - Technology / Department of Information Technology / IT Research and Advisory Services / VITA Contract VA-180315-GARG/ Three (3) remaining renewals","Non Professional Services, Technology","2019 Jul 30 12:00:00 AM","2025 Sep 13 12:00:00 AM"
"Public Works","23000003328","$969,933.48","SIMONS CONTRACTING CO","Invitation to Bid","IFB / Construction - Non Capital / Department of Public Works / Belvidere Street Gateway Phase IV Signal, Crosswalk and Sidewalk Improvements UPC No. 111161 / Period of Performance 270 Consecutive Days Change to 540 (11/17/24)","Construction - Capital/Non-Capital","2023 May 22 12:00:00 AM","2025 Sep 15 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000006046","$628,671.00","JOHN K GEORGE CO","Invitation to Bid","IFB No. 250004517 is for the Crooked Branch Ravine Park 42nd St. Bridge (ARPA). The contract performance time is 280 consecutive calendar days.","Construction - Capital/Non-Capital","2024 Dec 10 12:00:00 AM","2025 Sep 16 12:00:00 AM"
"Planning & Development Review","20000003712","$2,200,000.00","ATAB LLC","Request for Proposal","RFP / Services Non Professional Non Technical / Planning & Development Review / Elevator Inspection Services / Initial Two (2) year term with Two (2) - Two (2) year renewals.","Non Professional Services, Non Technology","2019 Sep 20 12:00:00 AM","2025 Sep 19 12:00:00 AM"
"Public Utilities","22000002046","$3,447,610.10","Branscome Operating LLC","Invitation to Bid","IFB / Commodity / Department of Public Works / Bituminous Asphalt / One (1) year initial term with Two (2) - Two (2) year renewal options. Expiration of contract 22000002046 is 9/1/25. Updating end date to allow final invoice payment","Supplies, Non Technology","2021 Sep 02 12:00:00 AM","2025 Sep 19 12:00:00 AM"
"Information Technology","25000003360","$35,040.00","Deltek, Inc.","Agency Request","Requisition250002803/This is to replace agreement no.23000002102. Deltek has purchased Replicon","Non Professional Services, Technology","2024 Sep 26 12:00:00 AM","2025 Sep 25 12:00:00 AM"
"Public Utilities","20000003711","$640,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","IFB - Req-220000057/Equip-NonTec/ DPU/ Natural Gas Service Fittings/ 1st Renewal Term of 4 one-year renewal options / IFB#180021132R","Equipment - Non Technology","2019 Sep 27 12:00:00 AM","2025 Sep 26 12:00:00 AM"
"Information Technology","23000003731","$1,020,137.49","SHI INTERNATIONAL CORP","Cooperative Agreement","Quote 9/27/24 - 9/26/25; Requisition 230002133 / Services - Technology / Department of Information Technology / OpenGov Annual Subscription 9/27/2022 – 9/26/2023 / No additional terms and conditionsOMNI CONTRACT 2018011-02","Non Professional Services, Technology","2022 Oct 28 12:00:00 AM","2025 Sep 28 12:00:00 AM"
"Information Technology","23000011905","$291,064.64","SHI INTERNATIONAL CORP","Cooperative Agreement","Requisition 230013449/Renew SHI Neogov, SSO, and Employee Intergration/OMNI CONTRACT 2018011-02","Non Professional Services, Technology","2023 Jun 07 12:00:00 AM","2025 Sep 28 12:00:00 AM"
"Public Works","23000012298","$2,287,312.68","Stingray Welding LLC","Invitation to Bid","230010160 - Columbia St over Goodes Creek Culvert replacement UPC 113073 - 180 consecutive calendar days - extending to end of August per Agency.","Construction - Capital/Non-Capital","2024 Mar 01 12:00:00 AM","2025 Sep 29 12:00:00 AM"
"Public Utilities","14000025252","$521,379.40","CHA CONSULTING INC","Request for Proposal","IFB / Professional Services / Department of Public Works / Modern Green High-Efficiency HVAC Study / Initial term One (1) year with Two (2) - One (1) year renewals.","Non Professional Services, Non Technology","2014 Jun 12 12:00:00 AM","2025 Sep 30 12:00:00 AM"
"City Wide","25000005333","$500,000.00","BALL OFFICE PRODUCTS LLC","Cooperative Agreement","Citywide Cooperative Contract for Davis Furniture via Ball Office Products / Region 14 Education Service Center Contract #07-84","Supplies, Non Technology","2024 Nov 19 12:00:00 AM","2025 Sep 30 12:00:00 AM"
"Public Utilities","19000004715","$1,000,000.00","ENERGY Worldnet Inc.","Request for Proposal","RFP / Services - Non Prof, Non Tech / DPU / Management Training Software / Initial term Two (2) years with Two (2) - Two (2) year renewals and extension. Currently on first 6 month extension","Non Professional Services, Technology","2018 Sep 28 12:00:00 AM","2025 Oct 02 12:00:00 AM"
"Public Works","25000004104","$195,959.00","TY'S HAULING & PAVING, INC.","Small Purchase","Requisition #250004299 - Small Purchase Construction - Alley Milling and Paving - DPW","Construction - Term","2024 Oct 04 12:00:00 AM","2025 Oct 03 12:00:00 AM"
"Public Works","25000006463","$2,096,043.00","Team Henry Enterprises, LLC","Invitation to Bid","IFB No. 250003548 Is for the Richmond Slave Trail Renovation with a completion date of 270 calendar days from issuance of NTP.","Construction - Capital/Non-Capital","2025 Jan 06 12:00:00 AM","2025 Oct 03 12:00:00 AM"
"Public Works","25000007423","$374,123.89","ADDO ENTERPRISE INC","Invitation to Bid","240009115 - IFB - Tredegar Street UPC 117943 construction award # 501097, project #107951","Construction - Capital/Non-Capital","2025 Feb 20 12:00:00 AM","2025 Oct 03 12:00:00 AM"
"Public Utilities","24000003251","$4,875,875.00","Tidewater Utility Construction","Invitation to Bid","IFB No. 230012641 Almond Creek Interceptor Creek Crossing Replacement and Creek Stabilization - performance time is 360 consecutive calendar days","Construction - Capital/Non-Capital","2023 Oct 10 12:00:00 AM","2025 Oct 09 12:00:00 AM"
"Public Utilities","23000003696","$970,788.00","POLYDYNE INC","Invitation to Bid","IFB# 230003125 / Emulsion Polymer (Clarifloc SE-883)","Supplies, Non Technology","2022 Oct 12 12:00:00 AM","2025 Oct 11 12:00:00 AM"
"Public Works","24000006649","$13,889,630.02","Gilbane Bldg Co. Inc","Request for Proposal","CMAR project Fire Station #21 RFP240002537 Fire Station 21 Projec","Construction - Capital/Non-Capital","2024 Jan 22 12:00:00 AM","2025 Oct 15 12:00:00 AM"
"Finance","20000003699","$2,750,000.00","DAVENPORT AND CO","Cooperative Agreement","Financial Advisory Services/ Contract15-091115","Non Professional Services, Non Technology","2019 Sep 04 12:00:00 AM","2025 Oct 19 12:00:00 AM"
"Planning & Development Review","24000004180","$600,000.00","SAFEbuilt","Request for Proposal","RFP - 230009230 Supplemental Plan Review and Staffing Services. Performance Period is 2-Years with Three 1-year renewal options.","Non Professional Services, Non Technology","2023 Oct 26 12:00:00 AM","2025 Oct 25 12:00:00 AM"
"Planning & Development Review","24000004181","$400,000.00","Bureau Veritas North America, Inc.","Request for Proposal","RFP - 230009230 Supplemental Plan Review and Staffing Services. Performance Period is 2-Years with Three 1-year renewal options.","Non Professional Services, Non Technology","2023 Oct 26 12:00:00 AM","2025 Oct 25 12:00:00 AM"
"Public Works","24000004509","$10,065,707.35","ECS MID ATLANTIC LLC","Request for Proposal","RFP#230003982 Annual Environmental Engineering Services. Performance Period is 1-year initial term with optional Three 1-year renewal terms. Req#25000139 Renewal #1 26-Oct-2024 to 25-Oct-2025","Professional Services","2023 Oct 26 12:00:00 AM","2025 Oct 25 12:00:00 AM"
"Public Works","23000004164","$10,651,444.36","J. W. Enochs Inc.","Invitation to Bid","IFB - Requisition #220012375 ./ Construction / Department of Public Works / Fire Station #12 Replacement Project / Duration of Project 510 Consecutive Calendar Days","Construction - Capital/Non-Capital","2023 Feb 20 12:00:00 AM","2025 Oct 26 12:00:00 AM"
"Information Technology","24000000538","$484,047.68","VIRGINIA INFORMATION TECHNOLOGIES AGENCY","Cooperative Agreement","Requisition 240000134/- Internet Access to Virginia State Police- VCIN- frame Relay Frame Relay Access DS1, SCADA, private IP - (VITA VA-151028-MCI)) Billing Period 7/1/2023 - 6/30/2024 Monthly at @ $11835.32","Non Professional Services, Technology","2023 Jul 17 12:00:00 AM","2025 Oct 27 12:00:00 AM"
"Public Utilities","22000004260","$330,000.00","UNIVAR SOLUTIONS USA INC","Invitation to Bid","IFB / Supplies - Non Technology / Department of Public Works / Furnish and deliver Potassium Permanganate Chemical / Initial Term of Two (2) years with Two (2) - Two (2) year renewals and extension.","Commodity","2021 Oct 29 12:00:00 AM","2025 Oct 28 12:00:00 AM"
"Budget and Strategic Planning","25000004614","$9,108.00","MOODYS INVESTORS SERVICE","Agency Request","New Goods & Services Contract Prepare by legal/Requisition 240003648/Moody's Agreement No. 00293347.0 & No. 00347554.0/Formerly agreement no.24000002953","Non Professional Services, Technology","2024 Oct 23 12:00:00 AM","2025 Oct 30 12:00:00 AM"
"City Wide","19000019778","$6,500,000.00","HERC RENTALS INC","Cooperative Agreement","Cooperative Agreement / Goods and Services / Department of Public Works / Initial Term of Five (5) with Two (2) - Two (2) Year Terms","Non Professional Services, Non Technology","2018 Nov 01 12:00:00 AM","2025 Oct 31 12:00:00 AM"
"Public Works","25000005262","$554,690.03","B & B SIGNAL CO LLC","Invitation to Bid","Requisition 250002493/Midlothian Tpke @ 32nd St Traffic Signal Project/Terms 240 consecutive calendar days/NTP Date 1/13/2025","Construction - Capital/Non-Capital","2024 Oct 11 12:00:00 AM","2025 Nov 02 12:00:00 AM"
"Library, Richmond Public","20000014607","$585,391.29","SIRSI CORPORATION","Request for Proposal","RFP / Supplies Technology / City of Richmond Public Library System / Integrated Library System / Initial One (1) year term with Seven (7) - One (1) year renewals and extension.","Non Professional Services, Technology","2019 Nov 05 12:00:00 AM","2025 Nov 04 12:00:00 AM"
"Public Works","24000005043","$300,000.00","COMMUNITY BUSINESS GROUP LTD","Invitation to Bid","IFB 240002141 / DPW / Clean Sweep Program / 2-year initial term with two 2-year renewal options","Non Professional Services, Non Technology","2023 Nov 06 12:00:00 AM","2025 Nov 05 12:00:00 AM"
"Police Department","20000014753","$24,994.00","InVeris Training Solutions, Inc","Agency Request","Requisition 200012619/Firing Range Maintenance Agreement","Non Professional Services, Non Technology","2020 Nov 06 12:00:00 AM","2025 Nov 05 12:00:00 AM"
"Police Department","22000010707","$31,925.18","72 Hour LLC","Cooperative Agreement","Soucewell Coop Contract No. 091521 - 1 one-year renewal options.","Equipment - Non Technology","2022 Apr 28 12:00:00 AM","2025 Nov 08 12:00:00 AM"
"Fire and Emergency Services","22000012912","$270,088.22","72 Hour LLC","Cooperative Agreement","220013781 - 2022 FORD EXPLORER XLT 4WD SUV(SOURCEWELL CONTRACT #091521","Equipment - Non Technology","2022 Jun 30 12:00:00 AM","2025 Nov 08 12:00:00 AM"
"Public Works","24000001218","$100,935.00","72 Hour LLC","Cooperative Agreement","Sourcewell Contract Number 091521-NAF: New/Unused 2024 Ford E-Series Cutaway (E4F) E-450 DRW 158"" WB w/ Glaval Universal 14 Passenger w/ Rear Luggage","Equipment - Non Technology","2023 Aug 01 12:00:00 AM","2025 Nov 08 12:00:00 AM"
"Public Utilities","24000010745","$161,828.00","72 Hour LLC","Cooperative Agreement","Req 240009928 / DPU / Co-op, Sourcewell Contract 091521 / 2 New 2023 Ford E-Transit Cargo Van.","Supplies, Non Technology","2024 May 01 12:00:00 AM","2025 Nov 08 12:00:00 AM"
"Sheriff's Office","20000006839","$8,570,520.00","Aramark Correctional Services, LLC","Request for Proposal","RFP / Services / RCJC /Inmate Food Services / Initial Term of Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2019 Nov 11 12:00:00 AM","2025 Nov 10 12:00:00 AM"
"Public Works","23000012176","$28,126,587.83","Kokosing Construction Company, Inc.","Invitation to Bid","Commerce Road Improvement Project - IFB#230008783; 744 Days","Construction - Capital/Non-Capital","2023 Nov 01 12:00:00 AM","2025 Nov 14 12:00:00 AM"
"Public Utilities","20000010986","$150,000.00","STATE INDUSTRIAL PRODUCTS CORPORATION","Cooperative Agreement","CHEMICALS & SOLVENTS","Supplies, Non Technology","2020 Feb 21 12:00:00 AM","2025 Nov 30 12:00:00 AM"
"Public Works","23000001936","$8,445,266.00","WHITMAN REQUARDT AND ASSOC","Request for Proposal","RFP #220005493 / Professional Services / Department of Public Works / Annual Building Structural Engineering Services / Initial Term One (1) year with Four (4) - One (1) year renewals and extension","Professional Services","2022 Dec 01 12:00:00 AM","2025 Nov 30 12:00:00 AM"
"Public Works","26000003404","$1,183,500.00","Lee Hy Construction LLC","Invitation to Bid","IFB # 2250014324 is for State of Good Repair Projects: -UPC 125367, 125368, 125369 & 125370. The performance time is 65 calendar days","Construction - Capital/Non-Capital","2025 Sep 22 12:00:00 AM","2025 Dec 01 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000005762","$6,677,845.88","VIRTEXCO CORPORATION","Invitation to Bid","Change Order #1 - $37,683.99; IFB No. 250004964 is for the Calhoun Community Center Renovations (ARPA). The performance time of the contract is 260 from issue of NTP.","Construction - Capital/Non-Capital","2024 Dec 16 12:00:00 AM","2025 Dec 02 12:00:00 AM"
"Police Department","20000006625","$440,712.03","RICHMOND HARLEY DAVIDSON CO","Invitation to Bid","IFB / Supplies - Non Technology / Police Department / Harley Davidson Motorcycles Lease & Maintenance. / Initial term Two (2) years with Four (4) - One (1) year renewals and extension.","Supplies, Non Technology","2019 Dec 12 12:00:00 AM","2025 Dec 11 12:00:00 AM"
"Public Works","21000013265","$24,662,438.73","Top Guard, Inc","Request for Proposal","Opened to pay invoices *EXPIRED 31 October 2025* RFP / Services Non Technology and Non Professional / City Wide Contract / Security and Safety Services for all City Wide Buildings / Initial Term 3-years, 2x 1-year renewals and extension.","Non Professional Services, Non Technology","2021 Oct 01 12:00:00 AM","2025 Dec 12 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000006147","$10,863.00","Ankored Inc","Small Purchase","Contract No. 25000006147 is a small request from Parks & Rec. that required a Goods and Services Contract with four (4) one (1) year renewals.","Non Professional Services, Non Technology","2024 Dec 13 12:00:00 AM","2025 Dec 12 12:00:00 AM"
"Information Technology","23000005980","$495,000.00","Environmental Systems Research Inst. Inc","Agency Request","230000771 - Sole Source - Environmental Systems Research Institute (Esri) Enterprise Agreement (EA) for GIS software services","Non Professional Services, Technology","2022 Dec 14 12:00:00 AM","2025 Dec 13 12:00:00 AM"
"Public Works","25000006298","$64,000.00","RUPPERT LANDSCAPE","Small Purchase","Requisition 250006533/Urban Forestry (ARPA) - Ruppert Landscape - North Richmond 2 Beautification Project for Chamberlayne & Azalea - Labor & Materials","Non Professional Services, Non Technology","2024 Dec 16 12:00:00 AM","2025 Dec 15 12:00:00 AM"
"Public Works","25000006509","$128,000.00","Ricky Freeman Jr","Small Purchase","Requisition 250006589 - DPW - Urban Forestry (ARPA) - Tree Planting Project of 400 trees in the City Right-of-Way various locations.","Non Professional Services, Non Technology","2024 Dec 16 12:00:00 AM","2025 Dec 15 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000006430","$498,612.75","Kompan, Inc.","Cooperative Agreement","Contract No. 25000006430 is for requestion no. 2500066365 (Whitcomb playground equipment utilizing ARPA funds","Equipment - Non Technology","2024 Dec 16 12:00:00 AM","2025 Dec 16 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000006059","$2,525,000.00","H.G. Reynolds Co. Inc.","Invitation to Bid","IFB No.250005333 is for the Texas Beach Pedestrian Bridge Rehabilitation (ARPA) Project The contract performance time 365 consecutive calendar days..","Construction - Capital/Non-Capital","2024 Dec 18 12:00:00 AM","2025 Dec 17 12:00:00 AM"
"Finance","25000005058","$350,000.00","KPMG LLP","Cooperative Agreement","Auditing and Consulting services Utilizing IFB154849KC","Non Professional Services, Non Technology","2024 Dec 19 12:00:00 AM","2025 Dec 18 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000006431","$360,787.65","Kompan, Inc.","Cooperative Agreement","Requestion no.250006400 is for Riverview playground equipment using ARPA funds","Equipment - Non Technology","2024 Dec 18 12:00:00 AM","2025 Dec 18 12:00:00 AM"
"Public Works","21000006628","$3,500,000.00","ATLANTIC EMERGENCY SOLUTIONS INC","Invitation to Bid","IFB #200014708 - Requisition #210005671 / Equipment - Non-Technology / Department of Public Works / Fire Apparatus; Three (3) - One (1) Year Renewals and additional extension.","Equipment - Non Technology","2020 Dec 21 12:00:00 AM","2025 Dec 20 12:00:00 AM"
"Public Works","24000002016","$20,537,560.37","Southway Builders Inc","Invitation to Bid","IFB No. 230012752 Southside Community Center Phase II Part 2; Term 540 consecutive days","Construction - Capital/Non-Capital","2023 Oct 30 12:00:00 AM","2025 Dec 20 12:00:00 AM"
"Parks, Recreation and Community Facilities","24000008163","$1,174,767.10","MILLENNIUM ENTERPRISES LLC","Invitation to Bid","Change Order #2 - IFB # 230009108 is for the Hotchkiss Community Center Renovations","Construction - Capital/Non-Capital","2024 May 14 12:00:00 AM","2025 Dec 20 12:00:00 AM"
"Public Utilities","24000003671","$2,791,676.95","Denali Water Solutions LLC","Invitation to Bid","Requisition 230009268/Digester Cleaning and Valve Replacement Project/720 consecutive calendar days","Construction - Capital/Non-Capital","2023 Sep 29 12:00:00 AM","2025 Dec 27 12:00:00 AM"
"Fleet Management","24000007769","$6,500,000.00","GENUINE PARTS COMPANY","Cooperative Agreement","Req 240007900 / Fleet / Co-Op, Sourcewell #110520 GPC / In-House, Turnkey Auto Parts / Contract valid until 28DEC25","Supplies, Non Technology","2024 May 13 12:00:00 AM","2025 Dec 28 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000005968","$495,736.40","Playground Specialists Inc","Cooperative Agreement","Req 250005543 Playground Replacement-Forest Hill Park (Co-op documents via shared point link is listed in the notes to buyer) PLAYGROUND EQUIP (SEE 420-04 FOR BLEACHERS)","Equipment - Non Technology","2024 Nov 25 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Works","18000022733","$6,617,826.14","Blakemore Construction Corp - INACTIVE","Invitation to Bid","4-27-22 Do Not Close without confirmed approval of DPW-DPS IFB #180014338 / Construction / Department of Public Works / Forest Hill Avenue Improvement Project / Performance period of 589 consecutive calendar days.","Construction - Term","2018 May 10 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Parks, Recreation and Community Facilities","20000010664","$460,000.00","MAYMONT FOUNDATION","Grant Opportunity","Maymont Foundation Operating Agreement/Term 25 of 30/ #200010421","Non Professional Services, Non Technology","1995 Dec 04 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Utilities","21000007264","$29,676,145.00","Southwood Building Systems Inc","Invitation to Bid","CSO Control Program- Special Order 15A, Wastewater Treatment Plant - Division 47, Screenings and Grit Removal Facilities/Requisition No. 2000016652","Construction - Capital/Non-Capital","2021 Mar 17 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Utilities","22000005091","$49,238.12","Happy Valley Intermediate Holdco","Agency Request","Requisition 210004027/EnergyCAP Software Maintenance/2-Year Term with (2) 2-Year Renewals.","Non Professional Services, Technology","2022 Jan 01 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Human Resources","23000003911","$100,000,000.00","CIGNA HEALTHCARE","Request for Proposal","RFP # 210011797 Joint Health Care Program City of Richmond and Richmond City Schools","Non Professional Services, Non Technology","2023 Jan 01 12:00:00 AM","2025 Dec 31 12:00:00 AM"
